opaque_review_pair_id,candidate_pair_id,calibration_stratum,final_decision,final_action,decision_basis,interpretation
CAL_0024,near_037242,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0025,near_049699,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0026,near_039700,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0027,near_073923,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0028,near_044520,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0029,near_029965,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0030,near_061047,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0031,near_022156,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0032,near_009477,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0033,near_064208,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0034,near_042495,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0035,near_030960,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0036,near_076046,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0037,near_071402,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0038,near_036733,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0039,near_071037,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0040,near_044354,2,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0041,near_068533,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0042,near_058931,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0043,near_048108,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0044,near_019600,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0045,near_044688,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0046,near_012734,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0047,near_066135,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0048,near_054119,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0049,near_083575,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0050,near_079057,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0051,near_023928,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0052,near_019432,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0053,near_033625,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0054,near_004576,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0055,near_077178,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0056,near_039136,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0057,near_068908,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0058,near_034371,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0059,near_013150,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0060,near_055210,3,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0061,near_028895,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0062,near_030835,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0063,near_082656,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0064,near_045126,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0065,near_060985,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0066,near_060200,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0067,near_013078,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0068,near_016730,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0069,near_062148,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0070,near_058901,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0071,near_025542,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0072,near_038423,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0073,near_071299,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0074,near_040153,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0075,near_038291,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0076,near_016226,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0077,near_006070,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0078,near_012824,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0079,near_056428,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0080,near_000115,4,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0081,near_065586,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0082,near_006855,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0083,near_017417,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0084,near_039661,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0085,near_057200,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0086,near_063747,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0087,near_070869,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0088,near_026657,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0089,near_027638,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0090,near_063936,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0091,near_036954,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0092,near_056499,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0093,near_055296,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0094,near_014495,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0095,near_069979,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0096,near_064260,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0097,near_034305,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0098,near_080292,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0099,near_054918,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0100,near_022949,5,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0101,near_026117,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0102,near_004855,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0103,near_047556,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0104,near_072012,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0105,near_076345,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0106,near_015142,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0107,near_035577,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0108,near_055644,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0109,near_083846,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0110,near_011641,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0111,near_048989,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0112,near_055697,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0113,near_060302,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0114,near_009760,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0115,near_023359,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0116,near_000698,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0117,near_071894,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0118,near_006478,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0119,near_013121,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
CAL_0120,near_081743,6,different_radiograph,do_not_merge,manual_review_user_confirmed,"visually similar image, not the same radiograph"
